FG time = 3251.19	BG time = 485.761
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0.00030758	0
125	0.00092274	0
135	0.0015379	0
145	0.00092274	0
155	0.00276822	0
165	0.0046137	0
175	0.00676676	0
185	0.0061516	0
195	0.00676676	0
205	0.0076895	0
215	0.0092274	0
225	0.0129184	0
235	0.00984256	0
245	0.0138411	0
255	0.0123032	0
265	0.0113805	0
275	0.00891982	0
285	0.0123032	0
295	0.0156866	0
305	0.0147638	0
315	0.0126108	0
325	0.0123032	0
335	0.0101501	0
345	0.0126108	0
355	0.0107653	0
365	0.0138411	0
375	0.0110729	0
385	0.00953498	0
395	0.0159942	0
405	0.0107653	0
415	0.0123032	0
425	0.0123032	0
435	0.011688	0
445	0.00891982	0
455	0.00861224	0
465	0.00799708	0
475	0.00830466	0
485	0.0101501	0
495	0.0119956	0
505	0.00707434	0
515	0.00645918	0
525	0.00799708	0
535	0.00553644	0
545	0.0092274	0
555	0.00799708	0
565	0.00707434	0
575	0.00522886	0
585	0.00645918	0
595	0.00553644	0
605	0.00645918	0
615	0.0030758	0
625	0.00369096	0
635	0.00338338	0
645	0.00215306	0
655	0.0030758	0
665	0.00276822	0
675	0.0015379	0
685	0.00246064	0
695	0.00123032	0
705	0.00215306	0
715	0.00061516	0
725	0.00061516	0
735	0.0015379	0
745	0	0
755	0	0
765	0.00061516	0
775	0	0
785	0.00030758	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0.00030758	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
