FG time = 3312.43	BG time = 733.164
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0.000301893	0
95	0.00150947	0
105	0.00301893	0
115	0.00362272	0.00136395
125	0.00422651	0
135	0.00633976	0
145	0.00422651	0
155	0.00392461	0
165	0.00633976	0
175	0.00664165	0.00136395
185	0.00513219	0
195	0.00573597	0
205	0.00483029	0.00136395
215	0.00573597	0
225	0.00513219	0.00136395
235	0.00573597	0.00136395
245	0.00754733	0
255	0.00603787	0
265	0.00392461	0
275	0.00271704	0
285	0.00271704	0
295	0.00332083	0
305	0.00392461	0
315	0.00362272	0
325	0.00543408	0.00136395
335	0.00332083	0
345	0.00181136	0
355	0.00301893	0
365	0.00181136	0.00136395
375	0.00241515	0
385	0.00362272	0
395	0.00241515	0.00136395
405	0.00181136	0
415	0.00241515	0
425	0.00241515	0
435	0.00241515	0.00136395
445	0.00271704	0
455	0.00181136	0
465	0.00120757	0
475	0.00150947	0
485	0.00392461	0
495	0.00181136	0
505	0.000603787	0.00136395
515	0	0
525	0.00150947	0
535	0.000603787	0
545	0.00090568	0
555	0.000603787	0
565	0.00181136	0
575	0.00090568	0.00136395
585	0.00090568	0
595	0.00090568	0.00136395
605	0.000603787	0
615	0.000603787	0
625	0.00090568	0
635	0.00090568	0
645	0.000301893	0
655	0.00090568	0
665	0.000301893	0
675	0	0
685	0	0
695	0.000603787	0
705	0	0
715	0.000301893	0
725	0.000301893	0
735	0.000603787	0
745	0	0
755	0	0
765	0	0
775	0.000301893	0.00136395
785	0	0
795	0	0.00136395
805	0.000301893	0
815	0	0
825	0	0.00136395
835	0	0
845	0.000301893	0
855	0.000301893	0
865	0	0
875	0	0
885	0	0
895	0.000301893	0
905	0.000301893	0
915	0	0
925	0	0
935	0	0
945	0.000301893	0
955	0	0
965	0	0
975	0.000301893	0
985	0	0
995	0.000301893	0
1005	0	0
1015	0	0
1025	0	0.00136395
1035	0	0
1045	0	0
1055	0.00120757	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0.00136395
1185	0.000301893	0
1195	0	0
