FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0.000832339	0
125	0.000554893	0
135	0.00221957	0
145	0.00249702	0
155	0.00221957	0
165	0.00277446	0
175	0.0041617	0
185	0.00443914	0
195	0.00638127	0
205	0.00749105	0
215	0.00887828	0
225	0.00860084	0
235	0.00971062	0
245	0.00887828	0.00206186
255	0.010543	0
265	0.0124851	0
275	0.0122076	0
285	0.0133174	0.00206186
295	0.0113753	0.00206186
305	0.0149821	0
315	0.0135949	0
325	0.0135949	0
335	0.0113753	0.00206186
345	0.00860084	0
355	0.0113753	0
365	0.0147047	0
375	0.01304	0
385	0.00832339	0
395	0.0116527	0
405	0.0119302	0
415	0.0102655	0
425	0.0113753	0
435	0.0108204	0
445	0.00943318	0.00206186
455	0.01304	0
465	0.0110979	0
475	0.00943318	0.00206186
485	0.0138723	0
495	0.00943318	0
505	0.0124851	0
515	0.0116527	0.00206186
525	0.00665871	0
535	0.00971062	0.00206186
545	0.00887828	0
555	0.00693616	0
565	0.00721361	0
575	0.00499403	0.00206186
585	0.00554893	0
595	0.00665871	0
605	0.00471659	0.00206186
615	0.00582637	0
625	0.0041617	0
635	0.00388425	0.00206186
645	0.00471659	0
655	0.00332936	0
665	0.00277446	0
675	0.00443914	0
685	0.00221957	0
695	0.00305191	0.00206186
705	0.00277446	0
715	0.00194212	0.00206186
725	0.00138723	0.00412371
735	0.00138723	0
745	0.00138723	0
755	0.000832339	0
765	0.00138723	0
775	0.00110979	0.00206186
785	0.000277446	0
795	0.000832339	0
805	0.000554893	0
815	0.000554893	0.00412371
825	0.000832339	0.00206186
835	0.000832339	0
845	0.000277446	0.00206186
855	0.000554893	0.00412371
865	0	0
875	0.000554893	0.00206186
885	0.00194212	0
895	0.000832339	0
905	0.000277446	0
915	0.00110979	0
925	0.000554893	0.00206186
935	0.000554893	0.00206186
945	0.000277446	0
955	0	0
965	0.00138723	0.00206186
975	0.000832339	0
985	0.000832339	0
995	0.000832339	0
1005	0.000277446	0
1015	0.00138723	0
1025	0.000832339	0
1035	0	0
1045	0.000554893	0
1055	0.000277446	0
1065	0.00194212	0
1075	0.000554893	0.00412371
1085	0.000277446	0
1095	0.000554893	0
1105	0.000554893	0.00206186
1115	0.000554893	0.00206186
1125	0	0
1135	0.000832339	0
1145	0.000277446	0.00412371
1155	0.00110979	0
1165	0	0
1175	0.000554893	0
1185	0.00138723	0.00206186
1195	0.00138723	0
