FG time = 3434.63	BG time = 486.012
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000291152	0
135	0	0
145	0.00145576	0
155	0.00145576	0
165	0.00349382	0
175	0.00291152	0
185	0.00494958	0
195	0.00407612	0
205	0.00582304	0
215	0.00756995	0
225	0.00553188	0
235	0.00931686	0
245	0.00727879	0
255	0.00756995	0
265	0.00727879	0
275	0.00727879	0
285	0.00960801	0
295	0.00960801	0
305	0.0110638	0
315	0.00640534	0
325	0.0113549	0
335	0.0125195	0
345	0.0122284	0
355	0.00960801	0
365	0.00960801	0
375	0.0110638	0
385	0.00960801	0
395	0.00989916	0
405	0.0090257	0
415	0.00727879	0
425	0.0090257	0
435	0.00698764	0
445	0.0078611	0
455	0.00698764	0
465	0.00582304	0
475	0.00611419	0
485	0.00582304	0
495	0.00582304	0
505	0.00698764	0
515	0.00465843	0
525	0.00407612	0
535	0.00815225	0
545	0.00669649	0
555	0.00407612	0
565	0.00349382	0
575	0.00407612	0
585	0.00407612	0
595	0.00553188	0
605	0.00262037	0
615	0.00291152	0
625	0.00349382	0
635	0.00349382	0
645	0.00203806	0
655	0.00262037	0
665	0.00203806	0
675	0.000873455	0
685	0.000873455	0
695	0.00116461	0
705	0.00116461	0
715	0.00232921	0
725	0.00116461	0
735	0.000873455	0
745	0.000582304	0
755	0.000582304	0
765	0.000873455	0
775	0.000582304	0
785	0	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
