FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0.000277446	0
95	0.000277446	0
105	0.00138723	0.00206186
115	0.00499403	0
125	0.00971062	0
135	0.00887828	0
145	0.0144272	0
155	0.0166468	0.00206186
165	0.0135949	0.00206186
175	0.0124851	0
185	0.0208085	0
195	0.0194212	0
205	0.0194212	0.00206186
215	0.0127625	0
225	0.0135949	0
235	0.0160919	0.00206186
245	0.0166468	0
255	0.015537	0
265	0.0116527	0
275	0.0149821	0.00206186
285	0.01304	0
295	0.00943318	0
305	0.010543	0
315	0.0102655	0.00412371
325	0.00693616	0
335	0.0122076	0
345	0.00971062	0.00206186
355	0.00638127	0.00206186
365	0.0077685	0
375	0.0041617	0.00206186
385	0.00721361	0.00206186
395	0.00638127	0.00412371
405	0.00582637	0
415	0.00499403	0.00206186
425	0.00443914	0.00206186
435	0.0041617	0
445	0.00332936	0
455	0.00443914	0.00206186
465	0.00527148	0
475	0.00443914	0
485	0.00332936	0
495	0.0036068	0
505	0.00249702	0.00206186
515	0.00194212	0
525	0.00110979	0
535	0.00138723	0
545	0.00305191	0
555	0.00221957	0
565	0.00249702	0
575	0.00166468	0
585	0.00138723	0
595	0.00166468	0
605	0.00138723	0
615	0.00138723	0
625	0.000554893	0
635	0.00110979	0
645	0	0
655	0.000832339	0
665	0.000277446	0
675	0.00138723	0
685	0	0
695	0	0
705	0.000832339	0
715	0.000554893	0
725	0	0
735	0.000554893	0
745	0.000832339	0
755	0	0
765	0.000554893	0
775	0	0
785	0	0
795	0	0
805	0	0
815	0	0
825	0.000277446	0
835	0.000277446	0
845	0	0
855	0.000554893	0
865	0	0
875	0.000554893	0
885	0.000277446	0
895	0.000277446	0
905	0.000277446	0
915	0	0
925	0.000277446	0
935	0	0.00206186
945	0.000277446	0
955	0.000277446	0
965	0.000277446	0
975	0	0
985	0.000277446	0
995	0	0
1005	0	0
1015	0	0
1025	0	0.00206186
1035	0.000277446	0
1045	0	0
1055	0.000277446	0
1065	0	0
1075	0	0
1085	0.000277446	0
1095	0	0
1105	0.000277446	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0.000277446	0
1185	0	0
1195	0	0
