FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0.000277446	0
45	0.000554893	0
55	0	0
65	0	0
75	0.000832339	0
85	0.000554893	0
95	0.00138723	0
105	0.000832339	0
115	0.00277446	0
125	0.00194212	0
135	0.00277446	0
145	0.00249702	0
155	0.00332936	0
165	0.00249702	0
175	0.0041617	0
185	0.00638127	0
195	0.00527148	0
205	0.00665871	0
215	0.0036068	0
225	0.0041617	0
235	0.00471659	0
245	0.00582637	0
255	0.00527148	0
265	0.00693616	0
275	0.00582637	0
285	0.00527148	0.00206186
295	0.00582637	0
305	0.00554893	0
315	0.00388425	0
325	0.00527148	0
335	0.00277446	0
345	0.00332936	0
355	0.00610382	0
365	0.00471659	0.00206186
375	0.00443914	0
385	0.00388425	0
395	0.00166468	0.00206186
405	0.0036068	0.00206186
415	0.00249702	0.00412371
425	0.00249702	0
435	0.00221957	0.00206186
445	0.00221957	0
455	0.00166468	0.00206186
465	0.00166468	0
475	0.00305191	0.00206186
485	0.00305191	0
495	0.00277446	0
505	0.00166468	0
515	0.00221957	0
525	0.00138723	0
535	0.000554893	0
545	0.00110979	0
555	0.00110979	0
565	0.00138723	0
575	0.00166468	0
585	0.00138723	0
595	0.00221957	0
605	0.000277446	0
615	0.000832339	0
625	0.00138723	0
635	0.000554893	0
645	0.000277446	0
655	0.000277446	0
665	0.000277446	0
675	0.000554893	0
685	0	0
695	0.00110979	0
705	0	0
715	0	0
725	0.000277446	0
735	0.000554893	0
745	0.000277446	0
755	0.000277446	0
765	0.000832339	0
775	0	0
785	0.000277446	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0.000277446	0
855	0	0
865	0	0
875	0.000554893	0
885	0	0
895	0.000277446	0
905	0.000554893	0
915	0.000277446	0
925	0.000277446	0
935	0	0
945	0.000277446	0
955	0	0.00206186
965	0	0
975	0.000277446	0
985	0.000277446	0
995	0.000277446	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0.00206186
1055	0.000277446	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0.000277446	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0.000277446	0
