FG time = 3612	BG time = 500.47
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000276855	0
135	0.000276855	0
145	0.000276855	0
155	0.00193798	0
165	0.00110742	0
175	0.00332226	0
185	0.00276855	0
195	0.00470653	0
205	0.00442967	0
215	0.00553709	0
225	0.00747507	0.00199812
235	0.00692136	0
245	0.00802878	0
255	0.00664451	0.00199812
265	0.00858249	0
275	0.0124585	0
285	0.00802878	0
295	0.00775193	0.00199812
305	0.00664451	0
315	0.00747507	0
325	0.00775193	0
335	0.00858249	0
345	0.00996677	0
355	0.00968991	0.00199812
365	0.00775193	0
375	0.0141196	0
385	0.00996677	0.00199812
395	0.0102436	0
405	0.00996677	0
415	0.00747507	0
425	0.0102436	0.00199812
435	0.00830564	0
445	0.00636766	0.00199812
455	0.00830564	0
465	0.00747507	0
475	0.00664451	0
485	0.00498338	0
495	0.00581395	0.00199812
505	0.0060908	0.00199812
515	0.0060908	0
525	0.00526024	0.00199812
535	0.00581395	0
545	0.00498338	0
555	0.00581395	0.00199812
565	0.00276855	0.00199812
575	0.00387596	0
585	0.00387596	0
595	0.00359911	0
605	0.00359911	0.00199812
615	0.00359911	0
625	0.00221484	0
635	0.00276855	0
645	0.00193798	0
655	0.00221484	0
665	0.0030454	0
675	0.000553709	0
685	0.00166113	0
695	0.00249169	0
705	0.00110742	0.00199812
715	0.000830564	0.00199812
725	0.000553709	0
735	0.00110742	0
745	0.00138427	0
755	0.000276855	0
765	0.00138427	0
775	0.000276855	0.00399624
785	0.00110742	0
795	0.000553709	0.00199812
805	0.00138427	0.00399624
815	0.000553709	0
825	0.000276855	0
835	0.000830564	0
845	0.00138427	0
855	0.000553709	0
865	0.00110742	0
875	0.000830564	0
885	0.000830564	0
895	0	0
905	0	0
915	0.000830564	0.00199812
925	0.000553709	0
935	0.000830564	0
945	0.000830564	0
955	0.000830564	0
965	0.00138427	0
975	0.00193798	0
985	0.000553709	0
995	0.00138427	0
1005	0.000553709	0
1015	0.00138427	0
1025	0	0
1035	0.000276855	0
1045	0.000830564	0.00199812
1055	0.000830564	0
1065	0.00166113	0
1075	0.000276855	0
1085	0.000276855	0
1095	0.000553709	0
1105	0.000553709	0
1115	0	0
1125	0	0
1135	0.000830564	0
1145	0.000830564	0
1155	0.00110742	0.00199812
1165	0.000276855	0
1175	0.000553709	0
1185	0.000830564	0.00399624
1195	0.000276855	0
