FG time = 3431.05	BG time = 427.152
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000291456	0
135	0.00174874	0
145	0.00204019	0
155	0.00233165	0
165	0.0026231	0
175	0.00349747	0
185	0.00524621	0
195	0.00524621	0
205	0.00670349	0
215	0.0072864	0
225	0.00670349	0
235	0.00670349	0
245	0.0125326	0
255	0.0171959	0
265	0.0119497	0
275	0.016613	0
285	0.0136984	0
295	0.0148643	0
305	0.0139899	0
315	0.0183617	0
325	0.0148643	0
335	0.016613	0
345	0.0128241	0
355	0.0151557	0
365	0.0148643	0
375	0.0136984	0
385	0.0128241	0
395	0.0128241	0
405	0.0145728	0
415	0.0142813	0
425	0.0104924	0
435	0.0139899	0
445	0.0122412	0
455	0.0104924	0
465	0.00903514	0
475	0.00874368	0
485	0.00932659	0
495	0.00903514	0
505	0.00990951	0
515	0.00699495	0
525	0.00582912	0
535	0.0072864	0
545	0.00786931	0
555	0.00903514	0
565	0.00495475	0
575	0.00378893	0
585	0.00495475	0
595	0.00524621	0
605	0.00408039	0
615	0.00437184	0
625	0.00291456	0
635	0.00437184	0
645	0.00320602	0
655	0.00233165	0
665	0.00174874	0
675	0.00174874	0
685	0	0
695	0.00174874	0
705	0.00145728	0
715	0.00116582	0
725	0.000874368	0
735	0	0
745	0.000291456	0
755	0.000582912	0
765	0.000291456	0
775	0.000582912	0
785	0	0
795	0.000291456	0
805	0.000291456	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
