FG time = 3171	BG time = 485.858
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0.000315358	0
105	0.00157679	0
115	0.00283822	0
125	0.00346894	0
135	0.00630716	0
145	0.00756859	0
155	0.0100914	0.00205821
165	0.00756859	0.00205821
175	0.0126143	0
185	0.012299	0
195	0.00977609	0.00411643
205	0.0119836	0
215	0.0107222	0
225	0.00788395	0
235	0.00788395	0
245	0.0119836	0
255	0.00788395	0.00205821
265	0.00756859	0
275	0.00756859	0
285	0.00756859	0
295	0.0081993	0
305	0.00630716	0
315	0.00473037	0
325	0.00725323	0.00205821
335	0.00283822	0
345	0.00441501	0
355	0.00409965	0
365	0.00567644	0
375	0.00441501	0
385	0.00441501	0
395	0.00536108	0
405	0.00315358	0
415	0.00315358	0
425	0.00409965	0
435	0.00315358	0.00205821
445	0.0022075	0
455	0.00378429	0
465	0.000946073	0.00205821
475	0.00189215	0
485	0.00378429	0
495	0.000946073	0
505	0.00126143	0
515	0.00252286	0
525	0.0022075	0
535	0.000630716	0
545	0.00157679	0
555	0.00157679	0
565	0.000315358	0
575	0.000946073	0.00205821
585	0.000946073	0
595	0.00126143	0
605	0.000315358	0
615	0.00126143	0
625	0.000630716	0
635	0.000630716	0
645	0.00126143	0
655	0.000946073	0
665	0	0
675	0	0
685	0.000315358	0
695	0	0
705	0.000946073	0.00205821
715	0.000630716	0
725	0	0
735	0.000630716	0
745	0	0
755	0.000630716	0
765	0	0
775	0.000630716	0
785	0.000315358	0
795	0	0
805	0.000315358	0
815	0.000315358	0
825	0.000315358	0
835	0	0
845	0.000315358	0
855	0	0
865	0	0
875	0	0
885	0.000315358	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0.000630716	0
945	0.000315358	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0.000315358	0
1005	0	0
1015	0	0
1025	0.000315358	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0.000315358	0
1095	0	0.00205821
1105	0	0
1115	0	0
1125	0	0
1135	0.000315358	0
1145	0	0
1155	0.000315358	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
