FG time = 2310.74	BG time = 425.322
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000432761	0
135	0.000865523	0
145	0	0
155	0	0
165	0.00129828	0
175	0.00302933	0
185	0.00692418	0
195	0.0056259	0
205	0.00649142	0
215	0.00865523	0
225	0.00649142	0
235	0.0116846	0
245	0.0129828	0
255	0.00865523	0
265	0.010819	0
275	0.0112518	0
285	0.0151466	0
295	0.0138484	0
305	0.0112518	0
315	0.0242346	0
325	0.0112518	0
335	0.0155794	0
345	0.0138484	0
355	0.0151466	0
365	0.0142811	0
375	0.0147139	0
385	0.0112518	0
395	0.0155794	0
405	0.00995351	0
415	0.0112518	0
425	0.0077897	0
435	0.0125501	0
445	0.010819	0
455	0.0112518	0
465	0.0103863	0
475	0.00908799	0
485	0.00822246	0
495	0.0112518	0
505	0.00692418	0
515	0.00605866	0
525	0.00735694	0
535	0.00692418	0
545	0.00605866	0
555	0.00476037	0
565	0.00865523	0
575	0.0077897	0
585	0.00692418	0
595	0.00476037	0
605	0.00476037	0
615	0.0056259	0
625	0.00302933	0
635	0.00129828	0
645	0.00302933	0
655	0.00389485	0
665	0.00216381	0
675	0.00129828	0
685	0.00173105	0
695	0.00173105	0
705	0	0
715	0.00129828	0
725	0.00173105	0
735	0.00173105	0
745	0	0
755	0.000432761	0
765	0.000432761	0
775	0.000432761	0
785	0.000432761	0
795	0	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
